<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20110901,000000,177.89000,178.79000,174.17000,177.35000,65931270
GAZP,D,20110902,000000,175.12000,176.30000,170.65000,171.00000,61358900
GAZP,D,20110905,000000,169.25000,170.67000,167.08000,169.61000,52690870
GAZP,D,20110906,000000,167.92000,171.52000,167.43000,167.94000,61043810
GAZP,D,20110907,000000,171.03000,174.45000,170.71000,174.01000,59394390
GAZP,D,20110908,000000,174.37000,175.98000,172.51000,175.00000,53412290
GAZP,D,20110909,000000,174.11000,174.20000,168.29000,168.79000,65408740
GAZP,D,20110912,000000,166.14000,166.88000,162.36000,165.50000,69679240
GAZP,D,20110913,000000,167.04000,167.90000,162.02000,164.11000,75898900
GAZP,D,20110914,000000,163.00000,167.73000,162.17000,165.88000,61814400
GAZP,D,20110915,000000,168.16000,170.05000,165.80000,166.00000,94583460
GAZP,D,20110916,000000,167.73000,167.92000,163.36000,164.50000,53891620
GAZP,D,20110919,000000,163.40000,165.74000,162.50000,163.40000,49897500
GAZP,D,20110920,000000,163.29000,166.85000,163.29000,166.23000,51581660
GAZP,D,20110921,000000,165.80000,167.25000,164.22000,164.45000,42107380
GAZP,D,20110922,000000,161.50000,161.67000,152.32000,152.66000,104196030
GAZP,D,20110923,000000,151.10000,153.33000,145.50000,151.25000,144283790
GAZP,D,20110926,000000,148.70000,156.64000,146.33000,154.50000,97034010
GAZP,D,20110927,000000,157.97000,158.95000,156.00000,157.00000,57169050
GAZP,D,20110928,000000,155.42000,156.29000,153.80000,155.02000,63982310
GAZP,D,20110929,000000,153.58000,160.20000,152.55000,158.81000,64167040
GAZP,D,20110930,000000,158.11000,158.78000,151.81000,155.90000,83246500
GAZP,D,20111003,000000,152.44000,154.83000,150.18000,153.52000,61703100
GAZP,D,20111004,000000,151.92000,155.18000,142.30000,144.59000,94141260
GAZP,D,20111005,000000,148.11000,148.40000,139.40000,142.71000,82530220
GAZP,D,20111006,000000,144.85000,151.40000,144.65000,150.23000,86337190
GAZP,D,20111007,000000,152.23000,153.14000,149.45000,151.00000,75451470
GAZP,D,20111010,000000,151.97000,154.95000,149.12000,154.20000,57742480
GAZP,D,20111011,000000,154.88000,155.20000,150.82000,153.00000,67553640
GAZP,D,20111012,000000,152.50000,161.70000,152.23000,161.25000,88782510
GAZP,D,20111013,000000,160.56000,164.52000,156.80000,158.07000,95771050
GAZP,D,20111014,000000,159.51000,163.80000,158.24000,162.86000,78587590
GAZP,D,20111017,000000,164.32000,168.36000,158.96000,160.37000,100347870
GAZP,D,20111018,000000,158.32000,163.79000,157.09000,161.90000,80512700
GAZP,D,20111019,000000,163.01000,164.74000,160.08000,163.18000,77579760
GAZP,D,20111020,000000,160.84000,164.50000,159.85000,162.60000,58300150
GAZP,D,20111021,000000,163.30000,166.20000,161.22000,166.01000,49821360
GAZP,D,20111024,000000,167.07000,170.45000,166.08000,170.00000,61705500
GAZP,D,20111025,000000,169.70000,171.01000,166.21000,168.38000,69453930
GAZP,D,20111026,000000,167.70000,179.50000,167.36000,177.10000,130669010
GAZP,D,20111027,000000,181.03000,187.39000,181.00000,185.80000,128481900
GAZP,D,20111028,000000,187.20000,190.24000,182.65000,185.00000,96701430
GAZP,D,20111031,000000,183.10000,184.10000,178.81000,179.20000,60452330
GAZP,D,20111101,000000,176.90000,178.30000,170.30000,174.80000,105496800
GAZP,D,20111102,000000,175.90000,183.87000,175.43000,182.59000,130278830
GAZP,D,20111103,000000,180.35000,185.43000,175.40000,183.23000,127800790
GAZP,D,20111107,000000,184.05000,188.05000,179.35000,183.47000,80700750
GAZP,D,20111108,000000,183.60000,185.78000,182.58000,183.25000,68997000
GAZP,D,20111109,000000,184.89000,185.55000,178.30000,180.96000,100982510
GAZP,D,20111110,000000,178.40000,184.96000,177.02000,183.11000,83675980
GAZP,D,20111111,000000,184.55000,184.60000,179.70000,183.50000,57069150
GAZP,D,20111114,000000,184.95000,186.45000,182.35000,182.70000,56409350
GAZP,D,20111115,000000,182.70000,186.50000,180.84000,185.99000,92657800
GAZP,D,20111116,000000,184.42000,189.72000,182.91000,187.70000,91764830
GAZP,D,20111117,000000,187.20000,188.87000,181.76000,184.00000,96251200
